要件ID,仕様書参照,対象機能,対象画面,対象ロール,事前条件,操作,期待結果,実装箇所,テストID,検証方法,検証証拠,結果,不具合ID,備考
A-061,§3.3,不正利用防止アラート,通知（ベル）+メール,②（通知先）,同一アカウントの並行ログイン、または普段と異なるIPからのログインを発生させる,不審シグナルを検知させる,SNC管理者アカウント（②）宛にアプリ内通知とメールの両方でアラートが送られる,"C:/Users/hiras/Documents/test/airis/src/app/api/cron/daily/route.ts:66-233（detectAbuseSignals / detectRealtimeAbuseSignals）, :332-356（notifyRole([""R2""]) + audit）, src/lib/util.ts:74-92（notify: アプリ内＋メール）",,E2E,"実測手順: ローカルDBで同一アカウント（airis_2210001_001）に有効セッション4件を作成し、AuditLog に 198.51.100.10 / 203.0.113.77 の2つの異なるIPからの login success を投入 → `curl -H ""Authorization: Bearer qa-test-secret"" http://localhost:3100/api/cron/daily` を実行。レスポンス: `{""ok"":true,...,""abuseSignals"":{""total"":22,""concurrentSessions"":10,""failedLogins"":0,""multipleIps"":1,""realtimeConcurrentSessions"":10,""realtimeIpChange"":1}}`。DB実測（アプリ内通知）: Notification に `channel=inapp | airis_snc_adm_001 | R2 | 【不正利用検知】不審なログインシグナルを22件検知しました` の1件（②宛のみ）。DB実測（メールチャネル）: AuditLog に `system | notify_mail | channel=mail to=airis_snc_adm_001 title=【不正利用検知】不審なログインシグナルを22件検知しました | skipped`。個別シグナルも監査記録あり: `system-cron | abuse_realtime_ip_change | airis_2210001_001: 直近の成功IP 198.51.100.10 と異なる 203.0.113.77 からログイン成功（直近60分） | detected`、`abuse_realtime_concurrent_sessions | airis_2210001_001: 有効セッション52件（直近60分）`。",PASS,,要件1-9。「〜などの不審シグナル」の網羅的定義が仕様に無く、仕様判断不能の可能性（並行ログイン・異IPは最低ライン） / 「同一アカウントの並行ログイン」「普段と異なるIP」の最低ライン2種を日次窓（24h）と準リアルタイム窓（60分）の両方で検知し、②（R2）のみへアプリ内通知＋メール送信経路を起動することを確認。SMTPの実送信は本環境で未設定のため result=skipped（実メール到達の検証はBLOCKED相当）。Vercel Cron による自動起動もBLOCKEDだが、手動起動で機能自体はPASS。
A-062,§3.4,論理削除,-,-,Airisアカウント・販売員ID・訪販員申請の各レコードが存在,削除操作を実行しDBを確認,レコードは物理削除されず「削除済」ステータスに遷移し、削除から1年間データが保持される,"C:/Users/hiras/Documents/test/airis/prisma/schema.prisma:45,52,101,107,137,143; src/app/api/cron/daily/route.ts:78",,DB,Account/SalesStaff/FieldAgentApplicationはstatus='deleted'+deletedAtの論理削除（物理DELETEなし）。DB実査: FieldAgentApplicationにstatus=deletedの4件がdeletedAt付きで残存。匿名化バッチはdeletedAt<365日前のみ対象＝1年間はデータ保持。削除アクションはすべてupdate（admin/actions.ts:77-89等）。,PASS,,"要件1-4, 2-3, 3-3 / 「1年」の実時間検証は日付操作が必要なためコード確認による"
A-063,§3.4,匿名化,-,-,削除から1年経過したアカウント系レコードが存在（テストでは日付操作）,匿名化バッチ実行後のDBを確認,個人情報カラム（氏名・生年月日・電話・メール・住所等 @pii 対象）のみが匿名化され、レコード自体は分析用に残る,C:/Users/hiras/Documents/test/airis/src/app/api/cron/daily/route.ts:77-116,,DB,日次バッチが削除後365日経過レコードの個人情報カラムのみ匿名化: Account(name/email)、SalesStaff(姓名/生年月日/電話/メール)、FieldAgentApplication(カナ/委託先名・住所・連絡先/SNCメモ/誓約書PDF削除)。レコード自体・数値実績は残存。,PASS,,schema.prismaに@piiコメントは無し。読み取り専用DBのため実行検証は不可（現DBに匿名化対象0件・匿名化済み0件）、コードレビューで確認
A-064,§3.4,匿名化,-,-,-,バッチ実装・スケジュールを確認,匿名化は日次バッチとして実装・実行される,C:/Users/hiras/Documents/test/airis/src/app/api/cron/daily/route.ts,,CODE,匿名化は日次バッチとして実装：api/cron/daily/route.ts:77-116で削除後1年経過（cutoff=365日）のAccount/SalesStaff/FieldAgentApplicationの個人情報を匿名化（氏名→（匿名化済み）、email/電話/カナ/委託先/誓約書PDF消去）。vercel.jsonのcrons設定で毎日00:00 UTCに/api/cron/dailyを実行,PASS,,CRON_SECRETによるBearer認証つき（route.ts:22-26）
A-065,§3.4,削除済み復旧,管理画面ほか各管理系画面,管理者（①②等の削除権限保有ロール）,削除済みレコードが存在,削除済みレコードを一覧表示し復旧を実行,管理者が削除済みレコードを一覧でき、選択して復旧（削除前ステータスへの復帰）ができる,,e2e/04-admin.spec.ts:削除→DBでdeleted（論理削除・deletedAt記録）、復旧→deletedAtがクリアされる; e2e/05-sales-staff.spec.ts:削除→deleted+deletedAt設定（論理削除・Account停止）→復旧,E2E,/admin と /sales-staff にステータス「削除済」フィルタ+行内「復旧」ボタンがあり、復旧でdeletedAtがクリアされることをDB検証,PASS,,"要件1-5, 2-10, 3-8。プロトタイプの「保持バックアップから復旧」「復旧対象ID一覧（JSON）」ボタンに相当"
A-066,§3.5,ダミー表示モード,§5.2で「ダミー」の各ページ,④,④でログイン。シードでダミーデータ投入済み,ダミー表示対象ページを開く,本物そっくりの架空データ（シード投入のダミーデータ）が表示され、実データは一切表示されない,,e2e/04-admin.spec.ts:R4はダミー表示モード（実データ非表示・CSV不可・§3.5）; e2e/05-sales-staff.spec.ts:R4(閲覧): ダミーデータ(990001系)のみ表示; e2e/11-announcements-docs.spec.ts:R4ダミー表示: お知らせ・ドキュメントも偽データのみ; e2e/12-agencies-dashboard.spec.ts:R4ダミーモード,E2E,,PASS,,
A-067,§3.5,ダミー表示モード,-,④,-,実装を確認,④のセッションではリポジトリ層がダミーデータソースに差し替えられ、実データへのアクセス経路が存在しない（ダミーデータは実データと物理的に分離: DummyDataSet）,"C:/Users/hiras/Documents/test/airis/src/lib/auth.ts:200-218（agencyScope）, src/lib/session.ts:88-95, prisma/schema.prisma:21,264,293（isDummy）",e2e/02-nav-permissions.spec.ts,CODE,リポジトリ層の差し替えは実装されていない。④も他ロールと同一の `prisma` クライアント・同一テーブルを参照し、agencyScope() が `prisma.agency.findMany({ where: { isDummy: true } })` の代理店ID配列を返すことでWHERE句を絞る方式（auth.ts:202-205、session.ts:88-95 で同じ計算をRLSの app.scope にも渡す）。ダミーデータは Agency.isDummy / Announcement.isDummy / Document.isDummy の真偽値フラグで**実データと同一テーブルに混在**しており、物理分離されていない。`grep -rn DummyDataSet` → リポジトリ全体で0件。管理画面のみ例外的に関数リテラル（admin/page.tsx:50-79 dummyAuditRows/dummyAccessRows）でハードコードした架空行を返す。,FAIL,,「実データへのアクセス経路が存在しない」も未達 — ④のクエリは実データを含む同一テーブルへ発行され、WHERE句（アプリ層のagencyScope + RLSのapp.scope）でのみ除外される多層フィルタ方式。フィルタ漏れが即座に実データ露出につながる構造。
A-068,§3.5,ダミー表示モード,-,④,④でログイン,書き込み系API（作成・変更・削除等）を直接リクエスト,④の書き込み操作はすべて無効化され拒否される（実データにもダミーデータにも書き込まれない）,全actionsのuser.dummy/isDummyチェック,,API,"全書き込みactionが④を拒否: admin/actions.ts:37-41（audit denied付）、sales-staff/actions.ts:55,110,193他、field-agents/actions.ts:67,298他、reports/actions.ts:101,209,353,381他、announcements/actions.ts:20、documents/actions.ts:20、agencies/actions.ts:22、cases/actions.ts:39,127,201,223。既読記録も④はスキップ（announcements/[id]/page.tsx:38）。§3.5例外のAirisアカウント申請のみ実データ受理（account-requests はMENUでdummyFor指定なし→createRequestAction通過、REQUESTABLE_ROLES.R4=[R4]で自ロールのみ）。",PASS,,仕様の例外（④の申請=実データ受理）も正しく実装。E2Eで動的検証補完
A-069,§3.5 / §6.1,ダミー表示モード（例外）,Airisアカウント申請,④,④でログイン,Airisアカウント申請を実行,例外としてAirisアカウント申請のみ実データとして受け付けられる。ただし申請可能なロールは④のみに制限される,,テスト未整備・手動確認,E2E,src/lib/roles.ts MENU の account-requests に dummyFor 指定が無いため requirePage('account-requests') の dummy=false となり、src/app/(app)/account-requests/actions.ts の閲覧専用ガードを通過して④も実申請できる。REQUESTABLE_ROLES.R4=['R4'] で申請可能ロールは④のみに制限。localhost:3100 に R4 セッションでアクセスし申請フォーム（＋ アカウント申請）が表示されることを確認,PASS,,④の申請成立までのE2Eは未整備
A-070,§3.6,CSV文字コード,-,-,-,CSV出力ファイルのバイト列を確認、CSV取込を実行,CSV入出力はUTF-8（BOM付き）で、Excelで開いて文字化けしない,"src/lib/csv.ts:2-9,11-13",,API,toCsv()が先頭にU+FEFF（UTF-8でEF BB BF）を付与（csv.ts:8）、csvResponseはtext/csv; charset=utf-8で配信。全CSV出力（admin棚卸/監査ログ・販売員一覧・GiGaCC・日報テンプレ・訪販員一覧）がtoCsv経由であることをroute実装で確認。取込側parseCsvはBOM除去（csv.ts:12）しExcel保存のBOM付きCSVを受理。,PASS,,CSVルートは要認証（R1/R2等）のためバイト列の直接取得は不可。コード確認+E2E（02-nav-permissions.spec.ts:152 R2で200+CSV本文検証）による判定
A-071,§3.6,CSV取込エラーレポート,CSV取込のある各画面,取込権限保有ロール,不正な値を含むCSVを用意,CSV取込を実行,行単位バリデーションが行われ、「何行目・何列・理由」を含むエラー行レポートが返される,,e2e/05-sales-staff.spec.ts:CSV一括申請: 3行中1行不正（生年月日）→ 全件拒否+「3行目」エラー表示; e2e/07-reports-daily.spec.ts:R9: CSVアップロード不正行あり→全件拒否,E2E,reports/actions.ts は `${line}行目: 「${headers[idx]}」は0以上の…` と列名込みでレポート。sales-staff/actions.ts も `${line}行目: ${rowErrors}` で項目名を含む,PASS,,
A-072,§3.6,CSV取込ロールバック,-,-,正常行と不正行が混在するCSVを用意,CSV取込を実行しDBを確認,全件ロールバックされ、正常行を含め1件も登録されない（部分取込しない）,C:/Users/hiras/Documents/test/airis/src/app/(app)/sales-staff/actions.ts:168-171; src/app/(app)/reports/actions.ts:333-343,,DB,販売員CSV一括申請: 全行検証→エラーが1件でもあればDB書込前にreturn、正常時はcreateMany1文（原子的）（sales-staff/actions.ts:164-179）。日報CSV取込: 同様に全行検証後のみ書込（reports/actions.ts:333-343）。混在CSVでは1件も登録されない設計。,PASS,,日報CSVは検証後の書込がトランザクションなしの逐次upsert（実行時エラー時の理論的部分書込リスクあり、コード内コメントで速度優先と明記）。書込を伴うため実CSV投入試験は未実施
A-073,§3.6,CSV出力の監査記録,-,-,-,各CSV出力（棚卸CSV・アクセスログCSV・GiGaCC連携CSV・販売員一覧CSV・訪販員申請一覧CSV）を実行,すべてのCSV出力操作が監査ログに記録される,,"e2e/04-admin.spec.ts:371,404,422,469 ／ e2e/18-access-log.spec.ts:296 ／ e2e/20-permissions-unified.spec.ts:55,132",DB,5種すべてのCSV出力が監査記録される。DB実査（AuditLog）: 棚卸CSV=csv_export target=accounts_inventory 9件 / アクセスログCSV=csv_export target=access_logs 3件 / GiGaCC連携CSV=csv_export_gigacc 8件 / 販売員一覧CSV=csv_export_sales_staff_list 12件 / 訪販員申請一覧CSV出力 10件（加えて audit_logs 4件、daily_report_template_visit 12件・_tele 2件）。第4回で欠落していたアクセスログCSVは src/app/(app)/admin/csv/route.ts:35-51 に ?type=access として新設（AccessLog を情報源に 日時/ログインID/結果/IP/UserAgent/理由 を出力し50行で audit）。拒否も記録（csv_export denied 80件）。,PASS,,「等」を仕様内の出力物で具体化。A-053と整合
A-074,§3.7,通知基盤,ヘッダ（ベルアイコン）,全ロール,通知を発生させる操作を実行,3チャネルの通知到達を確認,アプリ内通知（ヘッダのベルアイコン）・メール・Slackの3チャネルが存在し、機能ごとに§7で指定されたチャネルで通知される,"C:/Users/hiras/Documents/test/airis/src/lib/util.ts:60-115（notify / notifyRole / auditMailChannel）, src/lib/mail.ts, prisma/schema.prisma:317-327（Notification.channel）",e2e/09-cases-snc.spec.ts「R5緊急アラート→R3全員+当該R7にNotification」,E2E,"3チャネルのうち2つのみ実在。(1) アプリ内通知: Notification テーブル（channel既定 ""inapp""）+ ヘッダのベル + /notifications。実測で cron 実行後に `channel=inapp | airis_snc_adm_001 | 【不正利用検知】…` が記録されることを確認。(2) メール: src/lib/mail.ts（nodemailer、SMTP_HOST未設定時はスキップ）+ 配信記録を AuditLog に `notify_mail / channel=mail to=… / result=skipped|success` で残す。(3) **Slack: 送信実装が存在しない** — Webhookへの送信コードは皆無で、src/components/cases/snc-case-list.tsx:126-128 の `Slack: 未設定` バッジ表示のみ。§7.8 が「メール + アプリ内 + Slack」を指定する窓口通知でも notifyRole/notifyAgencyR7 の2チャネルのみ（components/cases/actions.ts:74-75, 327-329 に「Slack通知は発注者確認により本フェーズ対象外」コメント）。",FAIL,,発注者指示によりSlackはスコープ外（残存リスクR-02）。アプリ内・メールの2チャネルと Notification.channel 列による記録は §3.7/§8 どおり実装済み。
A-075,§3.7,通知の永続化・既読,通知一覧,全ロール,通知が発生済み,通知を開封しDBを確認,通知はテーブル（Notification）に永続化され、既読状態（readAt）が管理される。再ログイン後も通知履歴が保持される,C:/Users/hiras/Documents/test/airis/prisma/schema.prisma:311-320; src/app/(app)/notifications/page.tsx:15-23,,DB,Notificationテーブル（accountId/title/body/link/readAt/createdAt）にDB永続化。DB実査: 265件、readAt設定済み2件。notifications/page.tsxのmarkAllReadでreadAt更新。DB保存のため再ログイン後も保持。,PASS,,
A-076,§3.8,ファイルアップロード対象,各該当画面,各機能の権限保有ロール,-,承認証跡・提出物・誓約書PDF・周知資料の添付の各機能でアップロード,4種すべてのアップロード機能が動作する,,e2e/03-account-requests.spec.ts:R2: 証跡を添付して申請; e2e/08-reports-submissions.spec.ts:R8提出→…（提出物ファイル）; e2e/06-field-agents.spec.ts:t05 承認フロー（誓約書PDF添付）; e2e/11-announcements-docs.spec.ts:お知らせ: R3が全体向け（添付付き）を作成,E2E,承認証跡・提出物・誓約書PDF・周知資料の4種すべてでアップロード→StoredFile保存→ダウンロード可をE2E検証,PASS,,
A-077,§3.8,アップロード上限,-,-,20MB超のファイルを用意,アップロードを実行,既定上限20MBを超えるファイルは拒否される。上限値は環境変数で変更可能（変更後は新上限で判定される）,,,API,"src/lib/util.ts:219-221: const maxMb = Number(process.env.FILE_MAX_MB) > 0 ? Number(process.env.FILE_MAX_MB) : 20 → 既定20MB・環境変数で変更可。全アップロード経路が storeFile 経由（account-requests/actions.ts:82、announcements/actions.ts:91、documents/actions.ts:34、field-agents/actions.ts:147、reports/actions.ts:578,683、components/cases/actions.ts:187）。動的検証（一時Playwrightスペックを作成・実行後に削除）: 既定構成サーバー(3111)へ21MBのbig.pdfをドキュメント登録 → 画面に「ファイルは20MB以下にしてください」、Document行は未作成。FILE_MAX_MB=1 で別ポート(3112)起動 → 2MB=「ファイルは1MB以下にしてください」で拒否、512KB=受理（Document作成を確認）。README.md:62 に FILE_MAX_MB 既定20を明記。",PASS,,プロトタイプの260KB/220KB制限は採用しない（§11.4） / CSV一括取込（sales-staff/actions.ts:145、field-agents/actions.ts:261）は別途4MB固定だが、§3.8 のアップロード対象（承認証跡・提出物・誓約書PDF・周知資料の添付）ではなく取込入力のため本要件の対象外と判断。field-agents/actions.ts:272-282 のzip内エントリ判定は FILE_MAX_MB を参照済み。
A-078,§3.8,拡張子ホワイトリスト,-,-,許可外拡張子（例: .exe）のファイルを用意,アップロードを実行,許可拡張子はホワイトリスト方式（xlsx/pdf/png/jpg/zip等）で、リスト外の拡張子は拒否される,,,API,"src/lib/util.ts:193-203 ALLOWED_EXT（xlsx/xls/pdf/png/jpg/jpeg/zip/csv/txt）でホワイトリスト化し、224-226行で拡張子がリスト外なら error を返して保存しない。保存MIMEもクライアント申告値を捨てて拡張子から決定（230行 safeMimeFor）。共通レイヤ storeFile に集約されたため全アップロード経路（account-requests/announcements/documents/field-agents/reports×2/cases）に一律適用。動的検証: R2で evil.exe をドキュメント登録 → 「この形式のファイルは受け付けられません（許可: xlsx, xls, pdf, png, jpg, jpeg, zip, csv, txt）」を表示、Document行は未作成。",PASS,,「等」の完全な許可リストが仕様未定義のため、仕様判断不能の可能性 / 第4回時点の「経路ごとに不統一・storeFile直呼びで検証なし」は解消。
A-079,§3.8,ファイル名サニタイズ,-,-,パストラバーサル文字等を含むファイル名（例: ../../a.pdf）を用意,アップロードを実行,ファイル名はサニタイズされ、危険な文字列が無害化された状態で保存・表示される,,,API,"src/lib/util.ts:205-208 safeName() が name.replace(/[\\/\x00-\x1f]/g,""_"").replace(/\.\.+/g,""."").slice(0,255) でパス区切り・制御文字・連続ドットを無害化し、222行で storeFile が保存前に適用（230行で StoredFile.name にサニタイズ済み名を保存）。配信時も files/[id]/route.ts:37 で Content-Disposition: attachment; filename*=UTF-8''<encodeURIComponent> + X-Content-Type-Options: nosniff + CSP sandbox。動的検証: ファイル名 ../../etc/pass.pdf でアップロード → Document.fileName / StoredFile.name は pass.pdf（.. とパス区切りが除去済み）。",PASS,,第4回時点の「サニタイズ処理なし」は解消。
A-080,§3.8,ストレージキー,-,-,ファイルアップロード済み,ストレージキーを確認,ストレージキーはUUIDであり、元のファイル名がキーに使用されていない（元ファイル名はメタデータとして別途保持）,"C:/Users/hiras/Documents/test/airis/prisma/schema.prisma:299-307, src/lib/util.ts:255-274",,DB,"そもそも「ストレージキー」が存在しない。model StoredFile の列は id / name / mime / size / data(Bytes) / uploadedBy / createdAt で、`grep -rn storageKey src/ prisma/` → 0件。ファイル実体はDBの bytea に格納され、参照キーは Prisma の cuid 主キー。DB実測: `select id, name from ""StoredFile"" limit 3` → `cmsff13ou002p32r4ct47x5qn | airis-sales-manual.txt`, `cmsff13oy002r32r4d98c90t0 | primary-agency-guide.txt` — **cuid であってUUIDではない**。",FAIL,,発注者判断により先送り（残存リスクR-01）。「元のファイル名がキーに使用されていない」「元ファイル名はメタデータとして別途保持（StoredFile.name、サニタイズ済み src/lib/util.ts:246-249 safeName）」の2点は結果的に充足しているが、UUIDのストレージキーという要件自体は未成立。
A-081,§3.8,ダウンロード認可,-,全ロール,閲覧権限のないファイルのURL/IDを取得,直接ダウンロードを試行,ダウンロードは権限チェック付きの署名URLまたは認可付きストリーミングで提供され、権限のないユーザーのアクセスは拒否される,,"e2e/14-file-access.spec.ts:538（ファイル認可行列 全10ロール+R7B）, :554,:581,:608,:631,:676,:729（分岐1〜6）, :771（孤立ファイルは①②でも403）, :785（成功・拒否とも監査記録）, :823（未認証401）, :829, :839",API,"認可付きストリーミングが実装済み。src/app/files/[id]/route.ts:24 if (!meta || !(await canAccessFile(user, id))) → 403 + audit denied（25行）、認可時のみ29-42行で本体返却 + audit file_download。認可ロジックは新設の src/lib/file-access.ts:10-122 で fileId の参照元エンティティを特定し §5.1 の宣言的マップ can()/canApproveFirst() とスコープ（agencyScope）で判定（①申請証跡24-43 ②誓約書PDF46-57 ③稼働提出物60-69 ④案件添付72-85 ⑤お知らせ添付89-103 ⑥ドキュメント公開範囲106-117行）、参照元なしは fail-closed で拒否（121行）。未認可は存在オラクル対策で403に統一。未認証は401（本番実測 curl https://airis-nine.vercel.app/files/x → 401、ローカル3100 → 401）。DB実査 file_download success 5 / denied 5。",PASS,,第4回の重大欠落（認証のみで認可なし）は解消。仕様は「署名URL or 認可付きストリーミング」の選択制なので後者で充足。
S8-001,§7.8,ホットライン窓口,ホットライン窓口,①②③⑤,SNC側ロールでログイン済み,ホットライン窓口画面を開く,ヘッダ右端に青塗りプライマリの起票ボタン「新規依頼」が表示される,,e2e/09-cases-snc.spec.ts:R5で/hotline: 一覧表示・通知チャネルバッジ・新規依頼ボタン・コンソールエラー0,E2E,PageHeaderのaction位置（ヘッダ右端）に btnPrimary（bg-blue-600）の「新規依頼」リンク,PASS,,
S8-002,§7.8,ホットライン窓口,ホットライン窓口,①②③⑤,SNC側ロールでログイン済み,ホットライン窓口画面を開く,ボタン行の下に説明バナーが表示される,,e2e/09-cases-snc.spec.ts:R5で/hotline: 一覧表示…（ページ描画）,E2E,src/components/cases/snc-case-list.tsx にボタン行直下のInfoBanner（薄青角丸）「SNCから代理店への依頼と返信履歴を…」を確認。localhost:3100/hotline のレンダリングでも表示を確認,PASS,,バナー文言自体のアサーションはE2E未整備
S8-003,§7.8,ホットライン窓口,ホットライン窓口,①②③⑤,Slack Webhook・メール送信先が未設定の環境,ホットライン窓口画面を開く,通知チャネル状態バッジ行が「Airis内通知: 記録済み」「Slack: 未設定」「メール: 未設定」の形式で表示され、設定済みチャネルは設定状態に応じた表記に変わる,,e2e/09-cases-snc.spec.ts:R5で/hotline: 通知チャネル状態バッジ行（Airis内通知: 記録済み / Slack: 未設定 / メール: 未設定）,E2E,環境変数(SLACK_WEBHOOK_URL/SMTP_HOST)の有無で「設定済み/未設定」に切替わる実装をコードで確認,PASS,,§14-8: 未設定でも動作し「未設定」表示
S8-004,§7.8 / §11.3,ホットライン窓口,ホットライン窓口,①②③⑤,HL案件がシード投入済み,ホットライン窓口画面を開く,案件一覧がテーブルでなくカードリスト形式（件名+メタ2行+右上にステータスバッジ・期限バッジ）で表示される,,e2e/09-cases-snc.spec.ts:R5で/hotline: 一覧表示; e2e/09-cases-snc.spec.ts:期限バッジ3態,E2E,src/components/cases/case-card.tsx がテーブルでなくカード（件名+メタ2行+右上にStatusBadge/DeadlineBadge）で描画,PASS,,
S8-005,§7.8 / §5.1補足,ホットライン窓口,ホットライン窓口,⑦⑩,代理店系ロールでログイン済み,新規案件の起票を試みる（UI操作およびAPI直接呼び出し）,⑦⑩には「新規依頼」ボタンが表示されず、APIへの起票リクエストも403で拒否される（起票はSNC側のみ）,"src/components/cases/actions.ts:36-41,54-59, src/lib/roles.ts:68-70",,API,"起票createCaseActionはrequireSncCaseUserでcanAccess(role,'hotline'/'consumer-center')を検証（対象ロールはR1/R2/R3/R5またはR6のみ）。R7/R10はredirect('/dashboard')で拒否されデータ変更不可。UI側: agency-cases（⑦⑩用統合ビュー）にはNewCaseFormのimport/表示が存在しない（grep 0件）。MENUで⑦⑩にはhotline/consumer-centerメニュー自体が出ない。",PASS,,UI非表示はE2Eで併せて確認 / 拒否は403ではなくserver actionのリダイレクト（アーキテクチャ上の差異）。UI非表示はE2E（02-nav-permissions/09-cases-snc）で動的検証あり
S8-006,§7.8,ホットライン窓口,ホットライン窓口（起票フォーム）,①②③⑤,代理店マスタが登録済み,「新規依頼」を押して起票フォームを開く,依頼テンプレ選択（音声提出依頼／代理店様から顧客への架電依頼／代理店確認依頼／フリー入力の4択）・代理店選択プルダウン（1次店名・2次店名まで）・ISP受付番号・本文・対応期限（カレンダー選択、自由記述不可）の入力欄が表示される,,e2e/09-cases-snc.spec.ts:R5新規依頼: テンプレ「音声提出依頼」→タイトル自動生成・本文雛形→起票,E2E,new-case-form.tsx にテンプレ4択・一次/二次代理店プルダウン・ISP受付番号・本文・対応期限（input type=date）を確認,PASS,,
S8-007,§7.8,ホットライン窓口,ホットライン窓口（起票フォーム）,①②③⑤,起票フォームでテンプレ・代理店・ISP受付番号を入力済み,案件を起票する,件名が「テンプレ名称／代理店名称／ISP受付番号」の形式で自動生成され、【ホットライン】等の接頭辞は付かない,,e2e/09-cases-snc.spec.ts:R5新規依頼: …タイトル自動生成…,E2E,件名=`テンプレ名称／代理店名称／ISP受付番号`。【ホットライン】等の接頭辞なしをE2Eでアサート,PASS,,
S8-008,§7.8（要件9-2）,ホットライン窓口,ホットライン窓口（起票フォーム）,①②③⑤,起票フォームを開いている,テンプレ「音声提出依頼」を選択する,本文欄に雛形「■依頼理由 ■顧客要望 ■顧客情報（ISP受付番号: / 代理店コード: / 代理店名称:）」が展開される,,e2e/09-cases-snc.spec.ts:R5新規依頼: テンプレ「音声提出依頼」→本文雛形（■依頼理由/■顧客要望/■顧客情報）,E2E,,PASS,,
S8-009,§7.8（要件9-2）,ホットライン窓口,ホットライン窓口（起票フォーム）,①②③⑤,起票フォームを開いている,テンプレ「代理店様から顧客への架電依頼」を選択する,本文欄に音声提出依頼と同一の雛形「■依頼理由 ■顧客要望 ■顧客情報（ISP受付番号: / 代理店コード: / 代理店名称:）」が展開される,,テスト未整備・手動確認,E2E,src/components/cases/new-case-form.tsx TEMPLATE_BODIES で「代理店様から顧客への架電依頼」が「音声提出依頼」と完全同一の雛形文字列（■依頼理由/■顧客要望/■顧客情報 + ISP受付番号/代理店コード/代理店名称）,PASS,,E2Eは音声提出依頼と代理店確認依頼のみ検証
S8-010,§7.8（要件9-2）,ホットライン窓口,ホットライン窓口（起票フォーム）,①②③⑤,起票フォームを開いている,テンプレ「代理店確認依頼」を選択する,本文欄に雛形「■依頼理由 ■確認内容 ■顧客情報（ISP受付番号: / 代理店コード: / 代理店名称:）」が展開される,,e2e/09-cases-snc.spec.ts:R6新規依頼: 起票するとCSC-接頭辞・series=CSCで作成される（■確認内容を検証）,E2E,「代理店確認依頼」で ■依頼理由/■確認内容/■顧客情報 が展開されることをE2Eでアサート,PASS,,
S8-011,§7.8,ホットライン窓口,ホットライン窓口（起票フォーム）,①②③⑤,起票フォームを開いている,「フリー入力（テンプレなし）」を選択して起票する,雛形なしで本文を自由入力して起票できる,,テスト未整備・手動確認,E2E,TEMPLATE_BODIES['フリー入力']='' により雛形なしで本文自由入力→起票可能。件名は `フリー入力／代理店名／ISP番号` で自動生成され手動編集も可（input value編集可）,PASS,,フリー入力時の件名自動生成（テンプレ名称部分の扱い）は仕様に明記なし。仕様判断不能の可能性 / 仕様にフリー入力時の件名規則の明記が無い（仕様判断不能の可能性）
S8-012,§7.8（要件9-3）,ホットライン窓口,ホットライン窓口（案件詳細）,①②③⑤⑦⑩,返信が複数往復ある案件が存在する,案件詳細を開く,窓口⇔代理店のメッセージが時系列で一連のスレッドとして表示され、投稿はフォームから行う（リアルタイムチャットではない）。何往復あっても全メッセージが表示される,,e2e/09-cases-snc.spec.ts:R5詳細: スレッド表示・ファイル添付付き返信; e2e/10-cases-agency.spec.ts:R7詳細: 返信フォームあり／…,E2E,CaseMessageを時系列表示するthread.tsx。フォーム投稿方式（WebSocket等のリアルタイム機構なし）,PASS,,
S8-013,§7.8 / §14-3,ホットライン窓口,ホットライン窓口（案件詳細）,①②③⑤,SNC側ロールで案件詳細を開いている,ファイルを添付してメッセージを投稿する,SNC側の投稿ではファイル添付ができ、添付ファイルがスレッドからダウンロードできる,,e2e/09-cases-snc.spec.ts:R5詳細: スレッド表示・ファイル添付付き返信→CaseMessage(snc)+R7へ通知,E2E,添付が fileIds に保存され画面のスレッドからダウンロードリンクで取得可,PASS,,§14-3で確定（SNC側は添付可）
S8-014,§7.8 / §5.1補足,ホットライン窓口,窓口案件（代理店ビュー）,⑦⑩,自店宛の案件が存在する,案件詳細から返信を投稿する,⑦⑩は自店案件にメッセージ返信を投稿できる（返信が代理店からの唯一の書き込み手段）,,e2e/10-cases-agency.spec.ts:R7返信→DBにCaseMessage(senderSide=agency); e2e/10-cases-agency.spec.ts:R10ログイン: …窓口案件の閲覧/返信可能,E2E,,PASS,,
S8-015,§7.8 / §14-3,ホットライン窓口,窓口案件（代理店ビュー）,⑦⑩,自店宛の案件が存在する,返信にファイル添付を試みる（UIおよびAPI直接）,⑦⑩の返信フォームには添付欄が無く、添付付き投稿APIも拒否される,"src/components/cases/actions.ts:148-157, src/app/(app)/agency-cases/[id]/page.tsx:117, src/components/cases/reply-form.tsx:20",,API,代理店側返信フォームはallowFiles=falseで添付欄なし（agency-cases/[id]/page.tsx:117、reply-form.tsx:20でallowFiles時のみinput[type=file]描画）。サーバ側もisAgencySide時はformDataのfilesを一切処理せず添付は保存されない（cases/actions.ts:148-157「サーバ側でも拒否する」実装）。代理店由来の添付ファイルがDBに格納される経路は存在しない。,PASS,,§14-3で確定（代理店側は添付不可） / 差異: 添付付きリクエストはエラー応答ではなく「本文のみ受理・添付は破棄」される（明示的な拒否応答ではない）。§14-3の保護目的（代理店の添付を保存させない）は満たす
